season	episode	title	arc_name	quote	desc	url	stream
3	19	Counterattack	Citadel Prison Break	Anything that can go wrong will.	With freed prisoners in their possession and the brutal warden attempting desperately to thwart them, Obi-Wan and Anakin search for a way out of the Citadel and back to Coruscant. The prison, however, has more traps, perils and pitfalls in store for them than they had imagined and they must work past their differences if they are to escape. Their bid to board their shuttle fails when heavy weapons fire destroys the escape craft. Trooper Echo dies in the blast. The escapees then flee to the caves and call for rescue from the Jedi Temple on Coruscant.	https://www.starwars.com/tv-shows/clone-wars/counterattack-episode-guide	https://www.disneyplus.com/video/da31968a-f4f6-457b-8d4a-9938d5bdb6f0?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep19_BuyWatchCTA-NA
3	20	Citadel Rescue	Citadel Prison Break	Without honor, victory is hollow.	After their ship and only way off the planet is destroyed, Anakin and Obi-Wan must lead the escaped prisoners across Lola Sayu's perilous landscape as Plo Koon commands a task force of four cruisers and their fighters through the Separatist defenses in a daring rescue. Even Piell is ravaged by anooba tracking beasts, but before he dies, he passes on his Nexus Routes coordinates to Ahsoka. When the survivors return to Coruscant, Ahsoka knows half the intel, and refuses to disclose it to anyone but the Jedi Council, while Tarkin refuses to hand over his half to anyone other than the Chancellor.	https://www.starwars.com/tv-shows/clone-wars/citadel-rescue-episode-guide	https://www.disneyplus.com/video/8799713b-3cd0-48e7-b32d-aef303971020?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep20_BuyWatchCTA-NA
3	21	Padawan Lost	Trandoshan Hunters	Without humility, courage is a dangerous game.	Ahsoka and a group of abducted younglings find themselves trapped on a Trandoshan moon, prey in an elaborate and cruel hunt. The forlorn younglings have lost all hope, despite the best efforts of their spirited leader, Kalifa. Ahsoka rallies them to defend themselves and strike back against the Trandoshan, an effort with deadly consequences.	https://www.starwars.com/tv-shows/clone-wars/padawan-lost-episode-guide	https://www.disneyplus.com/video/e9010f4d-8e53-4100-9e56-37526a34d8cb?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep21_BuyWatchCTA-NA
3	22	Wookiee Hunt	Trandoshan Hunters	A great student is what the teacher hopes to be.	As Ahsoka and her youngling allies struggle to evade the Trandoshan hunters, their efforts receive an unexpected boost when a new captive -- Chewbacca the Wookiee -- arrives. Chewie scrounges parts from a wrecked Trandoshan slave ship, assembling a communicator to send out a distress signal. Help arrives in the towering, shaggy form of Wookiee warriors led by General Tarfful. Freed from captivity, Ahsoka returns to the Jedi Temple and is reunited with Anakin Skywalker.	https://www.starwars.com/tv-shows/clone-wars/wookiee-hunt-episode-guide	https://www.disneyplus.com/video/d332b464-3b44-4ace-af1b-bcabcf5f9155?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep22_BuyWatchCTA-NA
4	7	Darkness on Umbara	Mutiny on Umbara	The first step toward loyalty is trust.	When Anakin is forced to temporarily turn over command of his clone troopers to a new commander, the Jedi Pong Krell, tensions begin to run high as the clones are assigned with a very deadly mission to take the capital of Umbara.	https://www.starwars.com/tv-shows/clone-wars/darkness-on-umbara-episode-guide	https://www.disneyplus.com/video/f9bfac62-4bb9-443b-905c-db5d978df3f2?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep07_BuyWatchCTA-NA
4	8	The General	Mutiny on Umbara	The path of ignorance is guided by fear.	General Krell orders Captain Rex and the clone troopers of the 501st Legion to conquer a heavily fortified Umbaran airbase, and will not accept anything less than victory. It is an almost certain suicide mission, unless the clones can use their ingenuity to defeat their new enemy.	https://www.starwars.com/tv-shows/clone-wars/the-general-episode-guide	https://www.disneyplus.com/video/61e6b80b-ae44-431d-ae37-3ff46db6fdf6?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep08_BuyWatchCTA-NA
4	9	Plan of Dissent	Mutiny on Umbara	The wise man leads, the strong man follows.	After the Republic conquers an Umbaran airbase, General Krell orders Rex and his men on towards the heavily fortified capital. Realizing there's a better plan, several clone troopers disobey orders to carry out a rogue, covert operation.	https://www.starwars.com/tv-shows/clone-wars/plan-of-dissent-episode-guide	https://www.disneyplus.com/video/5dfa03d3-ec0c-462e-96b9-9995bb5b7e1d?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep09_BuyWatchCTA-NA
4	10	Carnage of Krell	Mutiny on Umbara	Our actions define our legacy.	With two of his men facing execution for disobeying orders, Captain Rex must confront his overly aggressive commander, General Krell. Risking charges of mutiny, Rex must make a dark choice as the true face of the enemy emerges.	https://www.starwars.com/tv-shows/clone-wars/carnage-of-krell-episode-guide	https://www.disneyplus.com/video/3ea87b6f-c298-4847-a69d-05d6ec748f59?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep10_BuyWatchCTA-NA
4	11	Kidnapped	Zygerian Slavers	Where we are going always reflects where we came from.	Zygerrian slavers are behind the sudden disappearance of an entire colony of people on the planet Kiros. As Anakin and Ahsoka rush to defuse a series of bombs planted by the slavers, Obi-Wan must fight with their imposing leader.	https://www.starwars.com/tv-shows/clone-wars/kidnapped-episode-guide	https://www.disneyplus.com/video/02bd06fc-230f-4667-b9da-23fb11d66b70?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep11_BuyWatchCTA-NA
4	12	Slaves of the Republic	Zygerian Slavers	Those who enslave others inevitably become slaves themselves.	To locate the missing colonists, Anakin, Obi-Wan and Ahsoka go undercover to infiltrate the slavers on Zygerria.  Anakin struggles with his emotions as a wily Zygerrian queen forces him to take questionable actions in order to carry out his mission.	https://www.starwars.com/tv-shows/clone-wars/slaves-of-the-republic-episode-guide	https://www.disneyplus.com/video/22ffd322-9702-403f-93d3-47dc7780e062?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep12_BuyWatchCTA-NA
4	13	Escape from Kadavo	Zygerian Slavers	Great hope can come from small sacrifices.	Anakin tries to convince the Zygerrian Queen that she too is a slave and pawn in an evil Separatist plot. Meanwhile, Obi-Wan toils in the slave camps of Kadavo, a grim situation that grows increasingly bleak.	https://www.starwars.com/tv-shows/clone-wars/escape-from-kadavo-episode-guide	https://www.disneyplus.com/video/b2e1fd41-8496-4860-9ef8-80bed1b92754?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep13_BuyWatchCTA-NA
4	15	Deception	Obi-Wan Undercover	All warfare is based on deception.	When the Jedi learn of a Separatist plot to kidnap Chancellor Palpatine, one of them must go deep undercover as a hardened criminal to extract information from the conspirators.	https://www.starwars.com/series/clone-wars/deception-episode-guide	https://www.disneyplus.com/video/c639cb21-5137-4090-a440-8f84a171d235?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep15_BuyWatchCTA-NA
4	16	Friends and Enemies	Obi-Wan Undercover	Keep your friends close, but keep your enemies closer.	Fleeing across the galaxy with criminal fugitives, a disguised Obi-Wan, Cad Bane and Moralo Eval are tenaciously pursued by Anakin and Ahsoka, who have no idea they're chasing their friend.	https://www.starwars.com/tv-shows/clone-wars/friends-and-enemies-episode-guide	https://www.disneyplus.com/video/8fa14ce6-7c73-48b9-b271-16dffeb62fec?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep16_BuyWatchCTA-NA
4	17	The Box	Obi-Wan Undercover	The strong survive, the noble overcome.	The disguised Obi-Wan accompanies Cad Bane and Moralo Eval to Serenno, where they enlist in a brutal competition with other bounty hunters from around the galaxy to determine who will participate in a plot to kidnap the Chancellor.	https://www.starwars.com/tv-shows/clone-wars/the-box-episode-guide	https://www.disneyplus.com/video/f95cb9de-abf7-4d7f-8a65-d9a731a60f47?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep17_BuyWatchCTA-NA
4	18	Crisis on Naboo	Obi-Wan Undercover	Trust is the greatest of gifts, but it must be earned.	The Chancellor travels to Naboo to preside over a public ceremony, guarded by Jedi Knights. Dooku and his bounty hunters -- including an undercover Obi-Wan Kenobi -- launch their kidnapping plot.	https://www.starwars.com/tv-shows/clone-wars/crisis-on-naboo-episode-guide	https://www.disneyplus.com/video/ca31a17c-8cb2-4b69-acf5-4f1e399abf5d?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep18_BuyWatchCTA-NA
5	2	A War on Two Fronts	Onderon Rebellion	Fear is a malleable weapon.	Anakin, Obi-Wan, Ahsoka, and Rex travel to Onderon, a world under Separatist control. There, they will train a group of insurgent rebels -- including Lux Bonteri -- to help take back the capital city of Iziz from the rule of a duplicitous king.	https://www.starwars.com/tv-shows/clone-wars/a-war-on-two-fronts-episode-guide	https://www.disneyplus.com/video/ede2e807-00f4-4c49-b634-16d7826ef47a?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep02_BuyWatchCTA-NA
5	3	Front Runners	Onderon Rebellion	To seek something is to believe in its possibility.	Supervised by Ahsoka, the Onderon rebels infiltrate the capital and carry out a series of strikes on targets throughout the city. As the Separatist-aligned king comes under increasing pressure to deal with the growing rebellion, the rebels choose a new leader.	https://www.starwars.com/tv-shows/clone-wars/front-runners-episode-guide	https://www.disneyplus.com/video/e834cd28-5335-43c7-a5f1-9814431f414c?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep03_BuyWatchCTA-NA
5	4	The Soft War	Onderon Rebellion	Struggles often begin and end with the truth.	After a rebel attempt to rescue Onderon's true king, Ramsis Dendup, an unexpected ally steps forward to halt Dendup's execution and aid the rebel cause.	https://www.starwars.com/tv-shows/clone-wars/the-soft-war-episode-guide	https://www.disneyplus.com/video/bda5b155-0414-458c-9c65-457697ae8fb5?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep04_BuyWatchCTA-NA
5	5	Tipping Points	Onderon Rebellion	Disobedience is a demand for change.	As a full-scale revolt embroils Onderon, the rebels strike a decisive blow against the planet's Separatist-aligned king. Unfortunately for the rebels, such victory comes at a high price.	https://www.starwars.com/tv-shows/clone-wars/tipping-points-episode-guide	https://www.disneyplus.com/video/682b3543-c8ae-4f19-99f9-411bb43a0467?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep05_BuyWatchCTA-NA
5	10	Secret Weapons	Droid Squad	Humility is the only defense against humiliation.	R2-D2 is part of a team of Republic droids chosen for an important mission led by the diminutive Colonel Gascon to obtain an encryption module from a Separatist dreadnought. The droids must overcome numerous challenging obstacles to succeed in this crucial assignment.	https://www.starwars.com/tv-shows/clone-wars/secret-weapons-episode-guide	https://www.disneyplus.com/video/29f4f86d-1c16-47b5-9f2c-9df1e58fc01f?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep10_BuyWatchCTA-NA
5	11	A Sunny Day in the Void	Droid Squad	When all seems hopeless, a true hero gives hope.	After a comet damages their shuttle, R2-D2, Colonel Gascon, and the other droids crash on a desolate planet where they must make their way across a bewildering expanse of emptiness to carry out their mission.	https://www.starwars.com/tv-shows/clone-wars/a-sunny-day-in-the-void-episode-guide	https://www.disneyplus.com/video/9c96ac8c-2f1e-463e-8361-218fb2796aff?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep11_BuyWatchCTA-NA
5	12	Missing in Action	Droid Squad	A soldier's most powerful weapon is courage.	In a nearly vacant town, R2-D2 and his team find a clone commando suffering from amnesia.	https://www.starwars.com/tv-shows/clone-wars/missing-in-action-episode-guide	https://www.disneyplus.com/video/3f8328ff-925d-4554-808c-5dc2c03c5df7?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep12_BuyWatchCTA-NA
5	13	Point of No Return	Droid Squad	You must trust in others or success is impossible.	R2-D2 and his team must stop a sabotaged Jedi cruiser from destroying a crucial Republic conference.	https://www.starwars.com/tv-shows/clone-wars/point-of-no-return-episode-guide	https://www.disneyplus.com/video/7fd11383-337a-43ef-a633-94f357cc511a?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep13_BuyWatchCTA-NA
3	12	Nightsisters	Witches of Dathomir	The swiftest path to destruction is through vengeance.	Troubled by Asajj Ventress' growing prowess with the dark side of the Force, Darth Sidious commands Count Dooku to eliminate her. But Ventress survives Dooku's assassination attempt, and the jilted former apprentice vows to take revenge, enlisting the aid of her kinswomen -- the mystical Nightsisters -- in her sinister scheme.     Mother Talzin, leader of the Nightsisters, veils Asajj and her fellow assassins in a cloak of invisibility, and they infiltrate Dooku's palace on Serenno. Though they fail to kill the Count, their use of captured Jedi lightsabers leads Dooku to mistakenly believe that the Jedi have tried to kill him. Interested in protection, he requests a new apprentice from Mother Talzin.	https://www.starwars.com/tv-shows/clone-wars/nightsisters-episode-guide	https://www.disneyplus.com/video/7efbccb3-2bc5-4271-8e20-ab78c9efbccc?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep12_BuyWatchCTA-NA
3	13	Monster	Witches of Dathomir	Evil is not born, it is taught.	When Count Dooku calls upon the Nightsisters seeking a replacement for Ventress, she and her kin seize the opportunity to exact revenge. Ventress visits the far side of Dathomir and the males of the planet seeking the most brutal and powerful warrior among them. Talzin has Asajj secretly select a warrior from the distant Nightbrother village: Savage Opress. With the power of dark magic, Talzin transforms Savage into a hulking warrior ultimately loyal to Asajj. She then delivers Opress to Dooku, where he will serve as his secret Sith apprentice in a plot to overthrow Darth Sidious.	https://www.starwars.com/tv-shows/clone-wars/monster-episode-guide	https://www.disneyplus.com/video/60ae22d3-0e23-42ae-9931-30076c8cd519?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep13_BuyWatchCTA-NA
3	14	Witches of the Mist	Witches of Dathomir	The path to evil may bring great power, but not loyalty.	Anakin and Obi-Wan, sent to track down the mysterious figure behind the deaths of several Jedi, soon find themselves on the trail of the monstrous apprentice that Ventress has created: Savage Opress, who has been trained in the ways of the Sith by Dooku.     When Opress returns to Count Dooku after an unsuccessful assignment, Ventress strikes. With Opress at her side, she attacks Dooku. Opress' loyalty is fleeting, however, and Dooku and Ventress discover that this new apprentice has a will of his own.     When Savage returns to Mother Talzin, she gives him a new task: To seek the Outer Rim for his long-lost brother....	https://www.starwars.com/tv-shows/clone-wars/witches-of-the-mist-episode-guide	https://www.disneyplus.com/video/43682151-f351-4280-9a86-ca1986ac7a72?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep14_BuyWatchCTA-NA
4	19	Massacre	Witches of Dathomir	One must let go of the past to hold on to the future.	Count Dooku is determined to have revenge against the Nightsisters of Dathomir after their betrayal. General Grievous launches an all-out droid attack against the magic-wielding witches, and Mother Talzin and Asajj Ventress lead the defense with all the dark powers at their command.	https://www.starwars.com/tv-shows/clone-wars/massacre-episode-guide	https://www.disneyplus.com/video/2467b031-3144-40b8-a3c2-55160986820d?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep19_BuyWatchCTA-NA
5	6	The Gathering	Younglings in Danger	He who faces himself, finds himself.	Ahsoka escorts a group of younglings to Ilum, where they will learn from Yoda and undergo a crucial rite of passage: the construction of their lightsabers. They grapple with both physical and inner challenges as they face the dangerous task ahead of them.	https://www.starwars.com/tv-shows/clone-wars/the-gathering-episode-guide	https://www.disneyplus.com/video/dce32899-0e62-479d-b33a-37ca69ad9565?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep06_BuyWatchCTA-NA
5	7	A Test of Strength	Younglings in Danger	The young are often underestimated.	As the younglings return from Ilum with Ahsoka, their ship comes under attack by Hondo's gang of pirates. The children must use ingenious and improvised traps to thwart the brigands.	https://www.starwars.com/tv-shows/clone-wars/a-test-of-strength-episode-guide	https://www.disneyplus.com/video/da339c6c-de91-40f2-a091-09cb11a80f17?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep07_BuyWatchCTA-NA
5	8	Bound for Rescue	Younglings in Danger	When we rescue others, we rescue ourselves.	With Ahsoka captured by Hondo's pirates, the younglings work together to infiltrate the pirates' den, using their wits and courage to deceive Hondo Ohnaka and launch a daring rescue.	https://www.starwars.com/series/clone-wars/bound-for-rescue-episode-guide	https://www.disneyplus.com/video/8cc2c6fb-ec6b-406e-a334-bb44f2fed008?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep08_BuyWatchCTA-NA
5	9	A Necessary Bond	Younglings in Danger	Choose your enemies wisely, as they may be your last hope.	When General Grievous launches a full-scale attack on the pirate base on Florrum, Ahsoka and the younglings fight side-by-side with Hondo and his pirates to turn back the Separatist forces.	https://www.starwars.com/series/clone-wars/a-necessary-bond-episode-guide	https://www.disneyplus.com/video/06eb2462-5d0c-42a9-a1b4-acc9ccfd109e?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep09_BuyWatchCTA-NA
4	20	Bounty	Ventress: Train Heist	Who we are never changes, who we think we are does.	An aimless Asajj Ventress joins a team of bounty hunters under the leadership of young Boba Fett. On an alien world, they undertake a dangerous but profitable mission that tests the limits of their skills, and the strength of Asajj's character.	https://www.starwars.com/tv-shows/clone-wars/bounty-episode-guide	https://www.disneyplus.com/video/f7e92583-e67e-4ade-8da8-f64a2b38534a?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep20_BuyWatchCTA-NA
4	21	Brothers	Revival	A fallen enemy may rise again, but the reconciled one is truly vanquished.	The dark warrior Savage Opress is on a quest to find his long-lost brother. Could Darth Maul truly be alive, after more than a decade since his gruesome bisection at the blade of Obi-Wan Kenobi? Savage voyages into the depths of a twisted planet to find whatever became of the fallen Sith Lord.	https://www.starwars.com/tv-shows/clone-wars/brothers-episode-guide	https://www.disneyplus.com/video/ea059b38-a21c-4ff2-8e64-6c3bda2d6afc?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep21_BuyWatchCTA-NA
4	22	Revenge	Revival	The enemy of my enemy is my friend.	Savage and Maul, now reunited, pursue Obi-Wan Kenobi in search of revenge, and the Jedi Knight finds himself forced to unite with a surprising ally to defend against the deadly siblings.	https://www.starwars.com/tv-shows/clone-wars/revenge-episode-guide	https://www.disneyplus.com/video/6a302c32-b9bb-4d73-b69d-7698df40ae54?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep22_BuyWatchCTA-NA
5	1	Revival	Revival	Strength in character can defeat strength in numbers.	Fueled by vengeance and rage, the newly reunited brothers Savage Opress and Darth Maul spread terror and violence across the galaxy. As the Sith brothers forcibly recruit Hondo Ohnaka and his pirates, Obi-Wan Kenobi and Adi Gallia chase them down, leading to a deadly confrontation.	https://www.starwars.com/tv-shows/clone-wars/revival-episode-guide	https://www.disneyplus.com/video/46bf27c0-bc74-404a-98de-56bbe187d941?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep01_BuyWatchCTA-NA
5	14	Eminence	The Shadow Collective	One vision can have many interpretations.	Savage and Maul forge an alliance with Death Watch to target a common enemy: Obi-Wan Kenobi.	https://www.starwars.com/tv-shows/clone-wars/eminence-episode-guide	https://www.disneyplus.com/video/bce6b831-36ff-4ef7-9c85-7ae8030cdbcb?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep14_BuyWatchCTA-NA
5	15	Shades Of Reason	The Shadow Collective	Alliances can stall true intentions.	Backed by the criminal underworld, the Sith and Death Watch launch an attack on Mandalore.	https://www.starwars.com/tv-shows/clone-wars/shades-of-reason-episode-guide	https://www.disneyplus.com/video/9fce5334-6a7b-4308-9d90-e50e579b5cbb?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep15_BuyWatchCTA-NA
5	16	The Lawless	The Shadow Collective	Morality separates heroes from villains.	Using Duchess Satine as bait, Darth Maul lures Obi-Wan into a trap.	https://www.starwars.com/tv-shows/clone-wars/the-lawless-episode-guide	https://www.disneyplus.com/video/13bc0d23-46f6-4650-952c-57a19aac17bd?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep16_BuyWatchCTA-NA
5	17	Sabotage	Rogue Jedi	Sometimes even the smallest doubt can shake the greatest belief.	Anakin and Ahsoka investigate a deadly bombing at the Jedi Temple.	https://www.starwars.com/tv-shows/clone-wars/sabotage-episode-guide	https://www.disneyplus.com/video/17176f47-85e5-4687-ae84-a3d7f6984415?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep17_BuyWatchCTA-NA
5	18	The Jedi Who Knew Too Much	Rogue Jedi	Courage begins by trusting oneself.	As the Republic military takes over the Temple bombing case, Ahsoka finds herself at odds with Admiral Tarkin.	https://www.starwars.com/tv-shows/clone-wars/the-jedi-who-knew-too-much-episode-guide	https://www.disneyplus.com/video/a799d6f3-a50e-4be0-b8f2-8102f11c1bb7?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep18_BuyWatchCTA-NA
5	19	To Catch a Jedi	Rogue Jedi	Never become desperate enough to trust the untrustworthy.	The fugitive Ahsoka escapes to the criminal depths of Coruscant.	https://www.starwars.com/tv-shows/clone-wars/to-catch-a-jedi-episode-guide	https://www.disneyplus.com/video/d504b77e-8c64-44a4-b051-ca5e9300d4a9?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep19_BuyWatchCTA-NA
5	20	The Wrong Jedi	Rogue Jedi	Never give up hope, no matter how dark things seem.	On trial for murder, Ahsoka faces her greatest challenge.	https://www.starwars.com/tv-shows/clone-wars/the-wrong-jedi-episode-guide	https://www.disneyplus.com/video/c09fcde1-1b4d-40da-af52-5d8fa0611a53?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S05Ep20_BuyWatchCTA-NA
.	.	A Death on Utapau	Crystal Crisis on Utapau	One crime has to be concealed by another.	Obi-Wan and Anakin investigate a mysterious death of a Jedi Master on Utapau, and uncover a secret Separatist weapons deal the likes of which they have never seen before.	https://swfanon.fandom.com/wiki/A_Death_on_Utapau	https://www.youtube.com/watch?v=TdaXc2wzwv4&t=1s
.	.	In Search of the Crystal	Crystal Crisis on Utapau	The journey is often more important than the destination.	Obi-Wan and Anakin's investigation on Utapau continues, and they allow themselves to be captured by weapons dealers who possess a focusing crystal of unspeakable power.	https://swfanon.fandom.com/wiki/In_Search_of_the_Crystal	https://youtu.be/TdaXc2wzwv4&t=1311s
.	.	Crystal Crisis	Crystal Crisis on Utapau	Absolute power corrupts absolutely.	Obi-Wan and Anakin must escape from Utapau with a kyber crystal before General Grievous and his droid army track them down.	https://swfanon.fandom.com/wiki/Crystal_Crisis	https://youtu.be/TdaXc2wzwv4&t=2569s
.	.	The Big Bang	Crystal Crisis on Utapau	If at first you don't succed, destroy it.	Obi-Wan and Anakin must do all they can to prevent a powerful weapon from falling into General Grievous' hands.	https://swfanon.fandom.com/wiki/The_Big_Bang	https://youtu.be/TdaXc2wzwv4&t=3852s
2	18	The Zillo Beast	The Zillo Beast	Choose what is right, not what is easy.	Desperate to turn the tide of a fierce battle on Malastare and win a strategic alliance with the Dugs, Chancellor Palpatine orders the Jedi to drop the Republic's newest super-weapon, an untested electro proton bomb. Unfortunately, the bomb's blast awakens an ancient and fearsome Zillo Beast, a monster of legendary size and ferocity. Now the Jedi must contain this deadly creature despite the interference of the bloodthirsty Dugs, who have their own agenda.	https://www.starwars.com/series/clone-wars/the-zillo-beast-episode-guide	https://www.disneyplus.com/play/6ecf75b1-75c7-406c-a1d8-8f0050774174
2	19	The Zillo Beast Strikes Back	The Zillo Beast	The most dangerous beast is the beast within.	Per Palpatine's order, Republic forces transport a fearsome Zillo Beast back to Coruscant for scientific study. Eager to extract the beast's secrets for military gain, Palpatine orders his lead scientist to examine, and subsequently, kill the monster. Filled with pain and anger, the Zillo Beast escapes from the lab and begins devastating the city. Soon, Anakin, Padmé, and Palpatine find themselves pursued by the beast while the Jedi fight to contain it. In a climactic showdown, the Jedi are faced with having to save the lives of millions of innocents on Coruscant by destroying the Zillo Beast, the last of its kind.	https://www.starwars.com/series/clone-wars/the-zillo-beast-strikes-back-episode-guide	https://www.disneyplus.com/video/6f2cd6cf-8e7a-42e6-893a-6465f2683648?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep19_BuyWatchCTA-NA
